id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,axis_major_px,axis_minor_px,orientation_deg,eccentricity,compactness,mean_intensity
1,2602,328.74,183.3,87.2,142,48,78,92,102.00,46.91,135.20,0.888,0.303,85.3
2,897,131.25,134.2,118.8,112,102,42,30,48.02,26.21,79.48,0.838,0.654,92.1
3,514,95.94,50.7,127.4,43,109,18,39,39.58,15.79,9.55,0.917,0.702,79.4
4,1042,171.72,184.3,199.6,154,171,58,53,78.01,17.87,49.94,0.973,0.444,87.6
5,487,94.81,70.9,193.6,57,177,31,31,39.69,15.41,134.37,0.922,0.681,75.7
