id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,axis_major_px,axis_minor_px,orientation_deg,eccentricity,compactness,mean_intensity
1,1361,160.61,97.6,68.1,72,44,45,50,47.31,42.57,149.32,0.436,0.663,114.5
2,866,114.08,152.9,66.8,136,52,37,31,37.01,29.60,85.87,0.600,0.836,118.7
3,708,104.28,205.8,97.8,191,83,28,31,30.93,28.94,175.49,0.353,0.818,114.9
4,641,95.70,48.8,97.7,35,85,28,27,29.28,26.71,87.79,0.410,0.880,118.1
5,456,83.46,44.9,134.3,35,122,21,26,26.36,21.44,13.74,0.582,0.823,116.4
6,594,97.36,52.2,172.7,43,154,21,37,36.39,20.67,176.26,0.823,0.788,130.7
7,1914,248.84,184.1,199.9,141,155,74,82,102.14,30.93,41.90,0.953,0.388,117.1
8,407,78.77,123.5,201.3,109,191,29,20,27.96,17.67,96.51,0.775,0.824,99.3
9,498,99.60,108.2,228.8,90,218,39,21,43.20,14.35,105.74,0.943,0.631,124.1
