id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,axis_major_px,axis_minor_px,orientation_deg,eccentricity,compactness,mean_intensity
1,7682,1246.90,137.7,130.2,44,29,176,201,188.52,162.43,165.14,0.508,0.062,84.4
2,105,38.38,76.9,102.4,71,97,13,12,13.28,8.67,64.38,0.757,0.896,77.5
3,958,141.98,134.6,116.4,113,99,42,33,43.51,31.32,77.32,0.694,0.597,91.8
4,146,45.21,166.1,132.7,159,126,15,14,14.04,11.88,103.60,0.532,0.897,68.7
5,134,42.97,167.3,153.7,162,147,12,15,13.27,11.48,176.85,0.501,0.912,69.7
6,142,44.63,190.4,160.8,184,154,14,15,14.12,11.40,141.08,0.590,0.896,59.4
