id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,axis_major_px,axis_minor_px,orientation_deg,eccentricity,compactness,mean_intensity
1,10240,756.00,124.5,147.4,27,9,206,242,244.56,207.90,174.67,0.527,0.225,137.6
2,183,54.28,135.0,114.7,127,107,17,17,17.45,12.75,124.41,0.683,0.780,137.0
3,93,35.56,134.8,143.9,129,139,12,11,11.49,8.92,84.05,0.630,0.924,140.3
4,57,27.31,111.0,144.0,107,140,9,9,8.48,7.04,90.00,0.558,0.960,135.6
