id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,axis_major_px,axis_minor_px,orientation_deg,eccentricity,compactness,mean_intensity
1,258,58.53,76.7,158.8,67,150,20,18,19.65,15.28,119.16,0.629,0.946,19.7
2,220,62.43,77.5,178.9,67,169,21,20,22.76,12.39,139.87,0.839,0.709,16.6
3,197,55.46,107.1,185.6,101,175,13,22,21.87,10.38,164.73,0.880,0.805,21.8
4,18,13.31,51.0,195.5,49,193,5,6,4.54,3.95,0.00,0.494,1.276,30.0
