id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,axis_major_px,axis_minor_px,orientation_deg,eccentricity,compactness,mean_intensity
1,256,64.53,107.1,185.4,100,173,15,25,24.91,12.39,166.38,0.868,0.773,42.5
2,25,16.97,51.0,195.0,48,192,7,7,5.25,5.25,0.00,0.000,1.091,48.2
3,25,16.97,111.0,203.0,108,200,7,7,5.25,5.25,0.00,0.000,1.091,52.1
